Total Impact Rank,Rate Rank (10+ Min),Game Sequence,Game ID,Date,Player,Player ID,Team,Opponent,Minutes,Pregame Player Offence / 40,Pregame Player Defence / 40,Pregame Player Net / 40,Expected Team Points While On,Actual Team Points While On,Offensive Adjusted Points,Expected Opponent Points While On,Actual Opponent Points While On,Defensive Adjusted Points,Net Adjusted Points,Net Adjusted Points / 40,Expected Lineup Net / 40,Actual Lineup Net / 40,Postgame Player Offence / 40,Postgame Player Defence / 40,Postgame Player Net / 40,Postgame Rating Change,Games To Date,Minutes To Date,Reliability
11,80,149,401857059,2026-07-11,Bridget Carleton,3906972,POR,ATL,33.95,0.1957273417266055,-3.4809281337734106,-3.285200792046805,67.4422756498936,87.0,19.557724350106398,81.64698321581774,69.0,12.646983215817741,32.20470756592414,37.943690799321516,-16.73603247826116,21.207658321060382,0.7703167302676879,-2.7417834075183354,-1.9714666772506475,1.3137341147961576,20,609.6433333714803,0.6702004082324363
12,13,117,401857025,2026-06-26,Sydney Taylor,4594786,CHI,POR,23.25666666030884,0.30724410802624996,1.014533940221739,1.321778048247989,50.25332373128695,76.0,25.746676268713053,48.25995292996846,42.0,6.259952929968463,32.006629198681516,55.04938375937745,3.428472068562579,58.47785582794003,1.4827851750519576,1.7563811914355436,3.2391663664875012,1.9173883182395122,14,235.0333333015442,0.43928727178775545
13,7,121,401857028,2026-06-28,Monique Billings,3142255,IND,LA,21.93333333333333,0.07173698532828794,0.3296043365205662,0.4013413218488541,52.033184625625815,72.0,19.966815374374185,48.507357458094354,37.0,11.507357458094354,31.47417283246854,57.3997072932557,6.430079940786852,63.82978723404256,1.156305200083599,1.01060941916115,2.166914619244749,1.7655732973958949,15,304.47499999205274,0.5037015591977432
14,17,152,401857063,2026-07-13,Sophie Cunningham,3907781,IND,LV,23.266666666666666,2.425466193001687,-2.5878122281570954,-0.16234603515540824,53.1776017163837,75.0,21.8223982836163,53.510094592107556,44.0,9.510094592107556,31.332492875723858,53.866749929611224,-0.5716209897831219,53.29512893982808,3.415337790269125,-2.377004527142927,1.038333263126198,1.2006792982816061,20,452.38833334445957,0.6012697343850844
15,5,5,401856894,2026-05-09,DeWanna Bonner,869,PHX,LV,21.733333333333334,0.0,0.0,0.0,43.78860283497572,59.0,15.21139716502428,44.07941566426458,28.0,16.07941566426458,31.29081282928886,57.59045306004084,-0.5352383361144462,57.05521472392638,1.2276359912539418,1.5469821561169548,2.7746181473708966,2.7746181473708966,1,21.733333333333334,0.06755076668048073
16,11,1,401856890,2026-05-08,Julie Vanloo,2566110,NY,CON,22.023333326975507,0.0,0.0,0.0,44.046666653951014,69.0,24.953333346048986,44.046666653951014,38.0,6.046666653951014,31.0,56.30392010101274,0.0,56.30392010101274,2.3434527122110027,0.5887154625568751,2.932168174767878,2.932168174767878,1,22.023333326975507,0.06839048928362434
17,34,12,401856905,2026-05-14,Chelsea Gray,2529122,LV,CON,26.150000000000006,-0.9283591599208981,-1.298344957001325,-2.2267041169222233,55.08239331089133,71.0,15.917606689108673,55.471954737301935,41.0,14.471954737301935,30.38956142641061,46.484988797568796,-0.59588745913667,45.88910133843211,0.42408119033040104,-0.11697305830034872,0.3071081320300523,2.5338122489522754,2,48.59666665395102,0.13940657298996068
18,50,5,401856894,2026-05-09,Kahleah Copper,2998938,PHX,LV,28.12999998728434,0.0,0.0,0.0,56.67669005480366,72.0,15.323309945196343,57.053096414506,42.0,15.053096414506001,30.376406359702344,43.19432118511689,-0.5352383361144462,42.65908284900243,1.087123057796404,1.2570259817719238,2.344149039568328,2.344149039568328,1,28.12999998728434,0.08572821743935156
19,38,9,401856900,2026-05-11,Janelle Salaun,4790264,GS,PHX,26.03333333333333,0.8462990754145994,0.016813016698582102,0.8631120921131815,51.43005573996686,76.0,24.56994426003314,56.2390147375919,51.0,5.239014737591901,29.80895899762504,45.80121740992325,-7.388925476504519,38.4122919334187,3.0884994807623753,0.3804362385010742,3.46893571926345,2.605823627150268,2,53.400000000000006,0.1511035653650255
20,58,105,401857012,2026-06-22,Olivia Nelson-Ododa,4398966,CON,CHI,26.883333333333336,0.6759719057533625,-1.3824606353019413,-0.7064887295485788,52.47671746372681,61.0,8.523282536273193,57.33399256245875,38.0,19.333992562458747,27.85727509873194,41.4491383986092,-7.227191715410195,34.22194668319901,1.0597078370300428,-0.24959034394311483,0.8101174930869279,1.5166062226355068,11,206.63500003814696,0.4078577279946874
