Total Impact Rank,Rate Rank (10+ Min),Game Sequence,Game ID,Date,Player,Player ID,Team,Opponent,Minutes,Pregame Player Offence / 40,Pregame Player Defence / 40,Pregame Player Net / 40,Expected Team Points While On,Actual Team Points While On,Offensive Adjusted Points,Expected Opponent Points While On,Actual Opponent Points While On,Defensive Adjusted Points,Net Adjusted Points,Net Adjusted Points / 40,Expected Lineup Net / 40,Actual Lineup Net / 40,Postgame Player Offence / 40,Postgame Player Defence / 40,Postgame Player Net / 40,Postgame Rating Change,Games To Date,Minutes To Date,Reliability
11,136,170,401857058,2026-07-11,Jewell Loyd,2987869,LV,PHX,35.91666666666667,3.5335330650976946,-3.013213384252533,0.5203196808451618,81.00990349199355,94.0,12.990096508006445,74.27657729577149,56.0,18.27657729577149,31.266673803777934,34.821353656179596,7.49883195866961,42.32018561484918,3.9787265531812537,-2.6035110126228456,1.3752155405584081,0.8548958597132463,21,593.0016666730246,0.6640543784003419
12,24,60,401856949,2026-05-30,Laura Juskaite,5345444,TOR,SEA,23.783333333333335,0.6261442064223054,-0.2474608820153777,0.3786833244069277,48.17067721806883,68.0,19.829322781931168,49.32391299109848,38.0,11.323912991098481,31.15323577302965,52.39507067643388,-1.9395696252776187,50.45550105115627,2.3128296554376075,0.6373385302210429,2.9501681856586504,2.5714848612517227,9,100.10666669209799,0.2501999467285434
13,178,42,401856931,2026-05-23,Bridget Carleton,3906972,POR,TOR,38.01666666666668,0.35578369756209277,-2.940107953398233,-2.5843242558361403,78.35706957298405,97.0,18.642930427015955,87.62025281108295,76.0,11.620252811082949,30.263183238098904,31.842016559157102,-9.746444441664767,22.09557211749232,1.3204652259844913,-2.381986463687038,-1.0615212377025467,1.5228030181335936,6,204.88500003814696,0.4058052824359344
14,3,135,401857025,2026-06-26,Azura Stevens,3142010,CHI,POR,18.066666666666666,-0.2295381403089868,-1.5862309628827969,-1.8157691031917838,37.758368220417246,65.0,27.241631779582754,35.79542959411848,33.0,2.795429594118481,30.037061373701235,66.50271890856362,4.345989578521247,70.84870848708488,1.1213976621068484,-1.0601548051324776,0.06124285697437082,1.8770119601661546,13,236.6933333317439,0.4410215641442255
15,97,1,401856890,2026-05-08,Han Xu,4337216,NY,CON,31.55,0.0,0.0,0.0,63.1,86.0,22.9,63.1,56.0,7.100000000000001,30.0,38.03486529318542,0.0,38.03486529318542,1.689829997768172,0.6708317386262888,2.360661736394461,2.360661736394461,1,31.55,0.09515910119137384
16,32,1,401856890,2026-05-08,Julie Vanloo,2566110,NY,CON,24.28333333333333,0.0,0.0,0.0,48.56666666666666,72.0,23.433333333333337,48.56666666666666,42.0,6.566666666666663,30.0,49.41660947151682,0.0,49.41660947151682,2.023578958477486,0.6345759087505065,2.658154867227992,2.658154867227992,1,24.28333333333333,0.07488307549982012
17,53,7,401856895,2026-05-10,Rachel Banham,2566186,CHI,POR,26.59999999999999,0.0,0.0,0.0,54.16878735626043,75.0,20.83121264373957,53.78583286996436,45.0,8.78583286996436,29.61704551370393,44.53691054692322,0.5758714079640158,45.11278195488724,1.7778836958406523,1.0258937741069063,2.8037774699475584,2.8037774699475584,1,26.59999999999999,0.08144519289650948
18,72,82,401856971,2026-06-07,Nneka Ogwumike,1068,LA,POR,28.035000014305115,0.6931444235741211,-2.5981686886103357,-1.9050242650362146,62.08572399167705,72.0,9.91427600832295,62.50450498326687,43.0,19.50450498326687,29.41878099158982,41.974362014023356,-0.5975116695218717,41.3768503445015,1.5796423922787295,-1.59475773568469,-0.015115343405960546,1.889908921630254,10,272.78333337306975,0.4762417435693757
19,49,185,401857074,2026-07-17,Brionna Jones,3058895,ATL,TOR,26.250000000000007,0.0,0.0,0.0,62.77170410202005,84.0,21.228295897979947,58.061874004030834,50.0,8.061874004030834,29.29016990201078,44.632639850683084,7.176883958840706,51.809523809523796,2.4150669996262413,1.054339217873121,3.4694062174993623,3.4694062174993623,1,26.250000000000007,0.08045977011494256
20,177,130,401857019,2026-06-25,Kamilla Cardoso,4433405,CHI,POR,36.150000000000006,2.248284733458809,1.3788430253838198,3.627127758842629,73.58844627519885,96.0,22.411553724801152,76.38119809661322,70.0,6.381198096613218,28.79275182141437,31.85919980239487,-3.0901818217586543,28.769017980636235,3.197392576850568,1.6572841605318822,4.85467673738245,1.2275489785398208,17,407.9749999999999,0.5762562237367138
